threshold,area,perim,q2,arg2,q3,arg3,q4,arg4,q5,arg5,q6,arg6,q7,arg7,q8,arg8,lambda,velocity,pattern,timestep,vel_norm,isoperi_ratio,anisotro_ind,t_norm
15.0,60224.93717120204,2705.505949412006,0.006881736699123208,-1.801432973960334,0.01259605601108285,0.8028523240470273,0.007445570007507872,2.997269184495827,0.004994647598494701,-1.727508356722762,0.01604524742681062,2.706324502407917,0.009761096438412144,1.936175979116276,0.0121584505518145,0.3891648387536516,2.0,69.0,1.0,880.0,10.0,279.72915043276834,0.9931652979210014,24.798746420443166
25.0,56597.09616024212,2619.027111190574,0.003079476553041967,-1.712684615603992,0.01141507377564118,0.7408722646166139,0.006865546968792558,3.011160269251647,0.0061760903534893,-2.050854434378167,0.01553420400994724,2.760731296647436,0.008576029113251072,1.907030481669842,0.007970305882105075,0.2039238887837359,2.0,69.0,1.0,880.0,10.0,271.5588865068358,0.9969299775092356,24.798746420443166
15.0,60140.6636194428,2703.435072264473,0.01265787103374649,-1.646785118801946,0.01107109032258449,1.98521244776433,0.005027343134196238,-2.988078232264544,0.007751410038445814,-0.8244070491565826,0.0148712785075163,3.080280934198827,0.006128833379610205,1.287323205266252,0.008981807861402003,0.3216631777728852,2.0,69.0,1.0,881.0,10.0,279.5516991656058,0.9875003479498707,24.82692681410276
25.0,56523.30075774787,2617.118987963434,0.01316402117516554,-1.50704050718959,0.0111149658615147,1.796940594080941,0.004424200225754487,-3.053890198171007,0.006920682987647095,-0.8671480879514537,0.01586668134544563,3.039152547880892,0.006720322914543482,1.55264271710501,0.008136854896230998,0.2099084360690416,2.0,69.0,1.0,881.0,10.0,271.402541854422,0.9870070187057208,24.82692681410276
15.0,60186.21980090042,2704.434815749802,0.01215672193495989,1.682480742248182,0.01165064822061383,2.085893719015953,0.007338026173039646,-3.085256693643201,0.006052029395914942,-1.439510831182403,0.0157429232894535,-2.867185803172803,0.00981412605259644,1.441707721103158,0.007265982577830803,-0.09019648075097639,2.0,69.0,1.0,882.0,10.0,279.66003820495393,0.987989288939642,24.855107207762355
25.0,56581.38643707497,2618.371218281542,0.008460022451424711,1.622204429578072,0.0113219204331269,2.174193275051757,0.008906622284844934,-3.092696699012297,0.00567466910839004,-1.070197630099988,0.01775144518553497,-2.751252020085746,0.008587438588089297,1.522583978812718,0.006524541523511257,-0.003870369635961176,2.0,69.0,1.0,882.0,10.0,271.5515152619228,0.9916109491074723,24.855107207762355
15.0,60187.94873170504,2704.79435336529,0.007732075768885954,1.713308428024225,0.01253361187201599,0.8367320721415371,0.00425602408963816,-2.959030552220904,0.007261691379555414,-2.377899512514122,0.01244092568961492,-3.103908173293414,0.006114583911907759,1.663378883137565,0.01270495326227384,-0.002429504501494787,2.0,69.0,1.0,883.0,10.0,279.63089664824815,0.9923272505115147,24.883287601421948
25.0,56548.30048941799,2617.638297189934,0.009690833056510265,1.481342726618945,0.01131562656212155,0.9494965297479434,0.003428178721240216,-2.999468475437964,0.005460041156671067,-2.264440100198013,0.01213811448868031,-2.953771425437875,0.008253573033888477,1.76132583918584,0.01156819466449307,-0.4016301120615144,2.0,69.0,1.0,883.0,10.0,271.46871373520923,0.9904021778357892,24.883287601421948
15.0,60194.40603080134,2704.774147302028,0.01480800868898426,-1.63986662152412,0.01123043296434404,1.176792109329306,0.004586129855855139,-2.852468479256934,0.009243998750045666,-1.276465985703804,0.01285910549130591,2.80383331595049,0.007605104109797508,1.800596678320294,0.01253087807122387,0.2700886439288502,2.0,69.0,1.0,884.0,10.0,279.6629862233745,0.9854080687556708,24.911467995081544
25.0,56596.6769538928,2618.894004483447,0.0122972306750232,-1.580536619561492,0.012158461501196,1.134945157033841,0.006239316829353464,-2.996843763855222,0.006417595223942388,-1.240265187807094,0.01304190080100957,2.834602871134902,0.006145698596968037,1.451635631812127,0.011279804116204,-0.0239658945935153,2.0,69.0,1.0,884.0,10.0,271.5706771355407,0.9878521541871421,24.911467995081544
